District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Indicator,Sub-Indicator,Value
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,07 Year,Not currently going to school,Female,263
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,07 Year,School attendence not Stated,Male,65
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,07 Year,School attendence not Stated,Female,65
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,08 Year,Currently going to school,Male,3313
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,08 Year,Currently going to school,Female,3015
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,08 Year,Not currently going to school,Male,173
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,08 Year,Not currently going to school,Female,183
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,08 Year,School attendence not Stated,Male,65
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,08 Year,School attendence not Stated,Female,70
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,09 Year,Currently going to school,Male,3012
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,09 Year,Currently going to school,Female,3026
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,09 Year,Not currently going to school,Male,114
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,09 Year,Not currently going to school,Female,143
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,09 Year,School attendence not Stated,Male,43
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,09 Year,School attendence not Stated,Female,46
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,10 Year,Currently going to school,Male,3616
