District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age Group,Gender,Population under 16 years of age living with,Number
 Mustang,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Mustang,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Mustang,,,,,,   01 - 04 Years,  Male,Other relatives,0
 Mustang,,,,,,   01 - 04 Years,  Male,Employer,1
 Mustang,,,,,,   01 - 04 Years,  Male,Others,3
 Mustang,,,,,,   01 - 04 Years,  Male,Not stated,1
 Mustang,,,,,,   05 - 09 Years,  Male,Parents,330
 Mustang,,,,,,   05 - 09 Years,  Male,Mother,45
 Mustang,,,,,,   05 - 09 Years,  Male,Father,5
 Mustang,,,,,,   05 - 09 Years,  Male,Father and step mother,0
 Mustang,,,,,,   05 - 09 Years,  Male,Mother and step father,1
 Mustang,,,,,,   05 - 09 Years,  Male,Other relatives,4
 Mustang,,,,,,   05 - 09 Years,  Male,Employer,1
 Mustang,,,,,,   05 - 09 Years,  Male,Others,12
 Mustang,,,,,,   05 - 09 Years,  Male,Not stated,3
 Mustang,,,,,,   10 - 15 Years,  Male,Parents,306
 Mustang,,,,,,   10 - 15 Years,  Male,Mother,46
 Mustang,,,,,,   10 - 15 Years,  Male,Father,12
 Mustang,,,,,,   10 - 15 Years,  Male,Father and step mother,1
 Mustang,,,,,,   10 - 15 Years,  Male,Mother and step father,0
 Mustang,,,,,,   10 - 15 Years,  Male,Other relatives,11
 Mustang,,,,,,   10 - 15 Years,  Male,Employer,10
 Mustang,,,,,,   10 - 15 Years,  Male,Others,16
 Mustang,,,,,,   10 - 15 Years,  Male,Not stated,8
 Mustang,,,,,,   Under 1 Year,  Female,Parents,107
 Mustang,,,,,,   Under 1 Year,  Female,Mother,5
 Mustang,,,,,,   Under 1 Year,  Female,Father,0
 Mustang,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Mustang,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Mustang,,,,,,   Under 1 Year,  Female,Other relatives,0
 Mustang,,,,,,   Under 1 Year,  Female,Employer,0
 Mustang,,,,,,   Under 1 Year,  Female,Others,0
 Mustang,,,,,,   Under 1 Year,  Female,Not stated,0
 Mustang,,,,,,   01 - 04 Years,  Female,Parents,298
 Mustang,,,,,,   01 - 04 Years,  Female,Mother,27
 Mustang,,,,,,   01 - 04 Years,  Female,Father,0
 Mustang,,,,,,   01 - 04 Years,  Female,Father and step mother,0
 Mustang,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Mustang,,,,,,   01 - 04 Years,  Female,Other relatives,2
 Mustang,,,,,,   01 - 04 Years,  Female,Employer,0
 Mustang,,,,,,   01 - 04 Years,  Female,Others,1
 Mustang,,,,,,   01 - 04 Years,  Female,Not stated,0
 Mustang,,,,,,   05 - 09 Years,  Female,Parents,339
 Mustang,,,,,,   05 - 09 Years,  Female,Mother,39
 Mustang,,,,,,   05 - 09 Years,  Female,Father,4
 Mustang,,,,,,   05 - 09 Years,  Female,Father and step mother,0
 Mustang,,,,,,   05 - 09 Years,  Female,Mother and step father,0
 Mustang,,,,,,   05 - 09 Years,  Female,Other relatives,6
 Mustang,,,,,,   05 - 09 Years,  Female,Employer,2
 Mustang,,,,,,   05 - 09 Years,  Female,Others,8
 Mustang,,,,,,   05 - 09 Years,  Female,Not stated,2
 Mustang,,,,,,   10 - 15 Years,  Female,Parents,355
 Mustang,,,,,,   10 - 15 Years,  Female,Mother,42
 Mustang,,,,,,   10 - 15 Years,  Female,Father,9
 Mustang,,,,,,   10 - 15 Years,  Female,Father and step mother,1
 Mustang,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Mustang,,,,,,   10 - 15 Years,  Female,Other relatives,11
 Mustang,,,,,,   10 - 15 Years,  Female,Employer,15
 Mustang,,,,,,   10 - 15 Years,  Female,Others,26
 Mustang,,,,,,   10 - 15 Years,  Female,Not stated,9
 Myagdi,,,,,,   Under 1 Year,  Male,Parents,943
 Myagdi,,,,,,   Under 1 Year,  Male,Mother,244
 Myagdi,,,,,,   Under 1 Year,  Male,Father,0
 Myagdi,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Myagdi,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Myagdi,,,,,,   Under 1 Year,  Male,Other relatives,0
 Myagdi,,,,,,   Under 1 Year,  Male,Employer,0
 Myagdi,,,,,,   Under 1 Year,  Male,Others,7
 Myagdi,,,,,,   Under 1 Year,  Male,Not stated,0
 Myagdi,,,,,,   01 - 04 Years,  Male,Parents,3686
 Myagdi,,,,,,   01 - 04 Years,  Male,Mother,994
 Myagdi,,,,,,   01 - 04 Years,  Male,Father,16
 Myagdi,,,,,,   01 - 04 Years,  Male,Father and step mother,16
 Myagdi,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Myagdi,,,,,,   01 - 04 Years,  Male,Other relatives,0
 Myagdi,,,,,,   01 - 04 Years,  Male,Employer,0
 Myagdi,,,,,,   01 - 04 Years,  Male,Others,47
 Myagdi,,,,,,   01 - 04 Years,  Male,Not stated,55
 Myagdi,,,,,,   05 - 09 Years,  Male,Parents,4765
 Myagdi,,,,,,   05 - 09 Years,  Male,Mother,1460
 Myagdi,,,,,,   05 - 09 Years,  Male,Father,56
 Myagdi,,,,,,   05 - 09 Years,  Male,Father and step mother,40
 Myagdi,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Myagdi,,,,,,   05 - 09 Years,  Male,Other relatives,56
 Myagdi,,,,,,   05 - 09 Years,  Male,Employer,0
 Myagdi,,,,,,   05 - 09 Years,  Male,Others,144
 Myagdi,,,,,,   05 - 09 Years,  Male,Not stated,24
 Myagdi,,,,,,   10 - 15 Years,  Male,Parents,6240
 Myagdi,,,,,,   10 - 15 Years,  Male,Mother,1585
 Myagdi,,,,,,   10 - 15 Years,  Male,Father,109
 Myagdi,,,,,,   10 - 15 Years,  Male,Father and step mother,94
 Myagdi,,,,,,   10 - 15 Years,  Male,Mother and step father,16
 Myagdi,,,,,,   10 - 15 Years,  Male,Other relatives,102
 Myagdi,,,,,,   10 - 15 Years,  Male,Employer,8
 Myagdi,,,,,,   10 - 15 Years,  Male,Others,312
 Myagdi,,,,,,   10 - 15 Years,  Male,Not stated,47
 Myagdi,,,,,,   Under 1 Year,  Female,Parents,885
 Myagdi,,,,,,   Under 1 Year,  Female,Mother,266
 Myagdi,,,,,,   Under 1 Year,  Female,Father,0
 Myagdi,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Myagdi,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Myagdi,,,,,,   Under 1 Year,  Female,Other relatives,0
 Myagdi,,,,,,   Under 1 Year,  Female,Employer,0
 Myagdi,,,,,,   Under 1 Year,  Female,Others,0
 Myagdi,,,,,,   Under 1 Year,  Female,Not stated,8
 Myagdi,,,,,,   01 - 04 Years,  Female,Parents,3587
 Myagdi,,,,,,   01 - 04 Years,  Female,Mother,1005
 Myagdi,,,,,,   01 - 04 Years,  Female,Father,0
 Myagdi,,,,,,   01 - 04 Years,  Female,Father and step mother,0
 Myagdi,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Myagdi,,,,,,   01 - 04 Years,  Female,Other relatives,16
 Myagdi,,,,,,   01 - 04 Years,  Female,Employer,0
 Myagdi,,,,,,   01 - 04 Years,  Female,Others,16
 Myagdi,,,,,,   01 - 04 Years,  Female,Not stated,33
 Myagdi,,,,,,   05 - 09 Years,  Female,Parents,4708
 Myagdi,,,,,,   05 - 09 Years,  Female,Mother,1379
 Myagdi,,,,,,   05 - 09 Years,  Female,Father,40
 Myagdi,,,,,,   05 - 09 Years,  Female,Father and step mother,40
 Myagdi,,,,,,   05 - 09 Years,  Female,Mother and step father,16
 Myagdi,,,,,,   05 - 09 Years,  Female,Other relatives,71
 Myagdi,,,,,,   05 - 09 Years,  Female,Employer,0
 Myagdi,,,,,,   05 - 09 Years,  Female,Others,174
 Myagdi,,,,,,   05 - 09 Years,  Female,Not stated,63
 Myagdi,,,,,,   10 - 15 Years,  Female,Parents,6436
 Myagdi,,,,,,   10 - 15 Years,  Female,Mother,1660
 Myagdi,,,,,,   10 - 15 Years,  Female,Father,70
 Myagdi,,,,,,   10 - 15 Years,  Female,Father and step mother,55
 Myagdi,,,,,,   10 - 15 Years,  Female,Mother and step father,16
 Myagdi,,,,,,   10 - 15 Years,  Female,Other relatives,93
 Myagdi,,,,,,   10 - 15 Years,  Female,Employer,0
 Myagdi,,,,,,   10 - 15 Years,  Female,Others,327
 Myagdi,,,,,,   10 - 15 Years,  Female,Not stated,47
 Parbat,,,,,,   Under 1 Year,  Male,Parents,1119
 Parbat,,,,,,   Under 1 Year,  Male,Mother,268
 Parbat,,,,,,   Under 1 Year,  Male,Father,0
 Parbat,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Parbat,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Parbat,,,,,,   Under 1 Year,  Male,Other relatives,0
 Parbat,,,,,,   Under 1 Year,  Male,Employer,0
 Parbat,,,,,,   Under 1 Year,  Male,Others,0
 Parbat,,,,,,   Under 1 Year,  Male,Not stated,24
 Parbat,,,,,,   01 - 04 Years,  Male,Parents,4011
 Parbat,,,,,,   01 - 04 Years,  Male,Mother,1409
 Parbat,,,,,,   01 - 04 Years,  Male,Father,43
 Parbat,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Parbat,,,,,,   01 - 04 Years,  Male,Mother and step father,9
 Parbat,,,,,,   01 - 04 Years,  Male,Other relatives,17
 Parbat,,,,,,   01 - 04 Years,  Male,Employer,0
 Parbat,,,,,,   01 - 04 Years,  Male,Others,52
 Parbat,,,,,,   01 - 04 Years,  Male,Not stated,43
 Parbat,,,,,,   05 - 09 Years,  Male,Parents,5712
 Parbat,,,,,,   05 - 09 Years,  Male,Mother,2180
 Parbat,,,,,,   05 - 09 Years,  Male,Father,61
 Parbat,,,,,,   05 - 09 Years,  Male,Father and step mother,15
 Parbat,,,,,,   05 - 09 Years,  Male,Mother and step father,0
 Parbat,,,,,,   05 - 09 Years,  Male,Other relatives,54
 Parbat,,,,,,   05 - 09 Years,  Male,Employer,0
 Parbat,,,,,,   05 - 09 Years,  Male,Others,138
 Parbat,,,,,,   05 - 09 Years,  Male,Not stated,38
 Parbat,,,,,,   10 - 15 Years,  Male,Parents,8074
 Parbat,,,,,,   10 - 15 Years,  Male,Mother,2810
 Parbat,,,,,,   10 - 15 Years,  Male,Father,153
 Parbat,,,,,,   10 - 15 Years,  Male,Father and step mother,57
 Parbat,,,,,,   10 - 15 Years,  Male,Mother and step father,0
 Parbat,,,,,,   10 - 15 Years,  Male,Other relatives,89
 Parbat,,,,,,   10 - 15 Years,  Male,Employer,8
 Parbat,,,,,,   10 - 15 Years,  Male,Others,250
 Parbat,,,,,,   10 - 15 Years,  Male,Not stated,32
 Parbat,,,,,,   Under 1 Year,  Female,Parents,928
 Parbat,,,,,,   Under 1 Year,  Female,Mother,337
 Parbat,,,,,,   Under 1 Year,  Female,Father,0
 Parbat,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Parbat,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Parbat,,,,,,   Under 1 Year,  Female,Other relatives,7
 Parbat,,,,,,   Under 1 Year,  Female,Employer,0
 Parbat,,,,,,   Under 1 Year,  Female,Others,0
 Parbat,,,,,,   Under 1 Year,  Female,Not stated,15
 Parbat,,,,,,   01 - 04 Years,  Female,Parents,3779
 Parbat,,,,,,   01 - 04 Years,  Female,Mother,1343
 Parbat,,,,,,   01 - 04 Years,  Female,Father,23
 Parbat,,,,,,   01 - 04 Years,  Female,Father and step mother,0
 Parbat,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Parbat,,,,,,   01 - 04 Years,  Female,Other relatives,8
 Parbat,,,,,,   01 - 04 Years,  Female,Employer,0
 Parbat,,,,,,   01 - 04 Years,  Female,Others,46
 Parbat,,,,,,   01 - 04 Years,  Female,Not stated,53
 Parbat,,,,,,   05 - 09 Years,  Female,Parents,5473
 Parbat,,,,,,   05 - 09 Years,  Female,Mother,2006
 Parbat,,,,,,   05 - 09 Years,  Female,Father,65
 Parbat,,,,,,   05 - 09 Years,  Female,Father and step mother,8
 Parbat,,,,,,   05 - 09 Years,  Female,Mother and step father,0
 Parbat,,,,,,   05 - 09 Years,  Female,Other relatives,32
 Parbat,,,,,,   05 - 09 Years,  Female,Employer,8
 Parbat,,,,,,   05 - 09 Years,  Female,Others,162
 Parbat,,,,,,   05 - 09 Years,  Female,Not stated,41
 Parbat,,,,,,   10 - 15 Years,  Female,Parents,8166
 Parbat,,,,,,   10 - 15 Years,  Female,Mother,2733
 Parbat,,,,,,   10 - 15 Years,  Female,Father,139
 Parbat,,,,,,   10 - 15 Years,  Female,Father and step mother,24
 Parbat,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Parbat,,,,,,   10 - 15 Years,  Female,Other relatives,65
 Parbat,,,,,,   10 - 15 Years,  Female,Employer,8
 Parbat,,,,,,   10 - 15 Years,  Female,Others,383
 Parbat,,,,,,   10 - 15 Years,  Female,Not stated,73
 Baglung,,,,,,   Under 1 Year,  Male,Parents,2171
 Baglung,,,,,,   Under 1 Year,  Male,Mother,559
 Baglung,,,,,,   Under 1 Year,  Male,Father,0
 Baglung,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Baglung,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Baglung,,,,,,   Under 1 Year,  Male,Other relatives,0
 Baglung,,,,,,   Under 1 Year,  Male,Employer,0
 Baglung,,,,,,   Under 1 Year,  Male,Others,0
 Baglung,,,,,,   Under 1 Year,  Male,Not stated,62
 Baglung,,,,,,   01 - 04 Years,  Male,Parents,8698
 Baglung,,,,,,   01 - 04 Years,  Male,Mother,2344
 Baglung,,,,,,   01 - 04 Years,  Male,Father,19
 Baglung,,,,,,   01 - 04 Years,  Male,Father and step mother,2
 Baglung,,,,,,   01 - 04 Years,  Male,Mother and step father,26
 Baglung,,,,,,   01 - 04 Years,  Male,Other relatives,2
 Baglung,,,,,,   01 - 04 Years,  Male,Employer,0
 Baglung,,,,,,   01 - 04 Years,  Male,Others,110
 Baglung,,,,,,   01 - 04 Years,  Male,Not stated,160
 Baglung,,,,,,   05 - 09 Years,  Male,Parents,12114
 Baglung,,,,,,   05 - 09 Years,  Male,Mother,3456
 Baglung,,,,,,   05 - 09 Years,  Male,Father,61
 Baglung,,,,,,   05 - 09 Years,  Male,Father and step mother,51
 Baglung,,,,,,   05 - 09 Years,  Male,Mother and step father,1
 Baglung,,,,,,   05 - 09 Years,  Male,Other relatives,65
 Baglung,,,,,,   05 - 09 Years,  Male,Employer,2
 Baglung,,,,,,   05 - 09 Years,  Male,Others,412
 Baglung,,,,,,   05 - 09 Years,  Male,Not stated,153
 Baglung,,,,,,   10 - 15 Years,  Male,Parents,15812
 Baglung,,,,,,   10 - 15 Years,  Male,Mother,4331
 Baglung,,,,,,   10 - 15 Years,  Male,Father,198
 Baglung,,,,,,   10 - 15 Years,  Male,Father and step mother,93
 Baglung,,,,,,   10 - 15 Years,  Male,Mother and step father,39
 Baglung,,,,,,   10 - 15 Years,  Male,Other relatives,148
 Baglung,,,,,,   10 - 15 Years,  Male,Employer,12
 Baglung,,,,,,   10 - 15 Years,  Male,Others,418
 Baglung,,,,,,   10 - 15 Years,  Male,Not stated,172
 Baglung,,,,,,   Under 1 Year,  Female,Parents,1993
 Baglung,,,,,,   Under 1 Year,  Female,Mother,596
 Baglung,,,,,,   Under 1 Year,  Female,Father,0
 Baglung,,,,,,   Under 1 Year,  Female,Father and step mother,8
 Baglung,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Baglung,,,,,,   Under 1 Year,  Female,Other relatives,0
 Baglung,,,,,,   Under 1 Year,  Female,Employer,0
 Baglung,,,,,,   Under 1 Year,  Female,Others,16
 Baglung,,,,,,   Under 1 Year,  Female,Not stated,65
 Baglung,,,,,,   01 - 04 Years,  Female,Parents,7953
 Baglung,,,,,,   01 - 04 Years,  Female,Mother,2372
 Baglung,,,,,,   01 - 04 Years,  Female,Father,24
 Baglung,,,,,,   01 - 04 Years,  Female,Father and step mother,24
 Baglung,,,,,,   01 - 04 Years,  Female,Mother and step father,16
 Baglung,,,,,,   01 - 04 Years,  Female,Other relatives,45
 Baglung,,,,,,   01 - 04 Years,  Female,Employer,0
 Baglung,,,,,,   01 - 04 Years,  Female,Others,109
 Baglung,,,,,,   01 - 04 Years,  Female,Not stated,112
 Baglung,,,,,,   05 - 09 Years,  Female,Parents,11891
 Baglung,,,,,,   05 - 09 Years,  Female,Mother,3491
 Baglung,,,,,,   05 - 09 Years,  Female,Father,126
 Baglung,,,,,,   05 - 09 Years,  Female,Father and step mother,27
 Baglung,,,,,,   05 - 09 Years,  Female,Mother and step father,11
 Baglung,,,,,,   05 - 09 Years,  Female,Other relatives,59
 Baglung,,,,,,   05 - 09 Years,  Female,Employer,1
 Baglung,,,,,,   05 - 09 Years,  Female,Others,291
 Baglung,,,,,,   05 - 09 Years,  Female,Not stated,105
 Baglung,,,,,,   10 - 15 Years,  Female,Parents,16347
 Baglung,,,,,,   10 - 15 Years,  Female,Mother,4450
 Baglung,,,,,,   10 - 15 Years,  Female,Father,201
 Baglung,,,,,,   10 - 15 Years,  Female,Father and step mother,95
 Baglung,,,,,,   10 - 15 Years,  Female,Mother and step father,9
 Baglung,,,,,,   10 - 15 Years,  Female,Other relatives,149
 Baglung,,,,,,   10 - 15 Years,  Female,Employer,8
 Baglung,,,,,,   10 - 15 Years,  Female,Others,527
 Baglung,,,,,,   10 - 15 Years,  Female,Not stated,213
 Gulmi,,,,,,   Under 1 Year,  Male,Parents,1896
 Gulmi,,,,,,   Under 1 Year,  Male,Mother,721
 Gulmi,,,,,,   Under 1 Year,  Male,Father,15
 Gulmi,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Gulmi,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Gulmi,,,,,,   Under 1 Year,  Male,Other relatives,0
 Gulmi,,,,,,   Under 1 Year,  Male,Employer,0
 Gulmi,,,,,,   Under 1 Year,  Male,Others,30
 Gulmi,,,,,,   Under 1 Year,  Male,Not stated,23
 Gulmi,,,,,,   01 - 04 Years,  Male,Parents,8264
 Gulmi,,,,,,   01 - 04 Years,  Male,Mother,3346
 Gulmi,,,,,,   01 - 04 Years,  Male,Father,48
 Gulmi,,,,,,   01 - 04 Years,  Male,Father and step mother,8
 Gulmi,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Gulmi,,,,,,   01 - 04 Years,  Male,Other relatives,16
 Gulmi,,,,,,   01 - 04 Years,  Male,Employer,0
 Gulmi,,,,,,   01 - 04 Years,  Male,Others,202
 Gulmi,,,,,,   01 - 04 Years,  Male,Not stated,105
 Gulmi,,,,,,   05 - 09 Years,  Male,Parents,11638
 Gulmi,,,,,,   05 - 09 Years,  Male,Mother,5252
 Gulmi,,,,,,   05 - 09 Years,  Male,Father,148
 Gulmi,,,,,,   05 - 09 Years,  Male,Father and step mother,58
 Gulmi,,,,,,   05 - 09 Years,  Male,Mother and step father,25
 Gulmi,,,,,,   05 - 09 Years,  Male,Other relatives,82
 Gulmi,,,,,,   05 - 09 Years,  Male,Employer,0
 Gulmi,,,,,,   05 - 09 Years,  Male,Others,452
 Gulmi,,,,,,   05 - 09 Years,  Male,Not stated,90
 Gulmi,,,,,,   10 - 15 Years,  Male,Parents,16097
 Gulmi,,,,,,   10 - 15 Years,  Male,Mother,5986
 Gulmi,,,,,,   10 - 15 Years,  Male,Father,245
 Gulmi,,,,,,   10 - 15 Years,  Male,Father and step mother,106
 Gulmi,,,,,,   10 - 15 Years,  Male,Mother and step father,16
 Gulmi,,,,,,   10 - 15 Years,  Male,Other relatives,131
 Gulmi,,,,,,   10 - 15 Years,  Male,Employer,25
 Gulmi,,,,,,   10 - 15 Years,  Male,Others,572
 Gulmi,,,,,,   10 - 15 Years,  Male,Not stated,74
 Gulmi,,,,,,   Under 1 Year,  Female,Parents,1788
 Gulmi,,,,,,   Under 1 Year,  Female,Mother,565
 Gulmi,,,,,,   Under 1 Year,  Female,Father,17
 Gulmi,,,,,,   Under 1 Year,  Female,Father and step mother,8
 Gulmi,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Gulmi,,,,,,   Under 1 Year,  Female,Other relatives,0
 Gulmi,,,,,,   Under 1 Year,  Female,Employer,0
 Gulmi,,,,,,   Under 1 Year,  Female,Others,25
 Gulmi,,,,,,   Under 1 Year,  Female,Not stated,17
 Gulmi,,,,,,   01 - 04 Years,  Female,Parents,7800
 Gulmi,,,,,,   01 - 04 Years,  Female,Mother,2880
 Gulmi,,,,,,   01 - 04 Years,  Female,Father,51
 Gulmi,,,,,,   01 - 04 Years,  Female,Father and step mother,17
 Gulmi,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Gulmi,,,,,,   01 - 04 Years,  Female,Other relatives,34
 Gulmi,,,,,,   01 - 04 Years,  Female,Employer,0
 Gulmi,,,,,,   01 - 04 Years,  Female,Others,136
 Gulmi,,,,,,   01 - 04 Years,  Female,Not stated,85
 Gulmi,,,,,,   05 - 09 Years,  Female,Parents,11440
 Gulmi,,,,,,   05 - 09 Years,  Female,Mother,5066
 Gulmi,,,,,,   05 - 09 Years,  Female,Father,104
 Gulmi,,,,,,   05 - 09 Years,  Female,Father and step mother,32
 Gulmi,,,,,,   05 - 09 Years,  Female,Mother and step father,0
 Gulmi,,,,,,   05 - 09 Years,  Female,Other relatives,104
 Gulmi,,,,,,   05 - 09 Years,  Female,Employer,0
 Gulmi,,,,,,   05 - 09 Years,  Female,Others,463
 Gulmi,,,,,,   05 - 09 Years,  Female,Not stated,56
 Gulmi,,,,,,   10 - 15 Years,  Female,Parents,16596
 Gulmi,,,,,,   10 - 15 Years,  Female,Mother,6375
 Gulmi,,,,,,   10 - 15 Years,  Female,Father,254
 Gulmi,,,,,,   10 - 15 Years,  Female,Father and step mother,74
 Gulmi,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Gulmi,,,,,,   10 - 15 Years,  Female,Other relatives,180
 Gulmi,,,,,,   10 - 15 Years,  Female,Employer,41
 Gulmi,,,,,,   10 - 15 Years,  Female,Others,745
 Gulmi,,,,,,   10 - 15 Years,  Female,Not stated,155
 Palpa,,,,,,   Under 1 Year,  Male,Parents,1682
 Palpa,,,,,,   Under 1 Year,  Male,Mother,620
 Palpa,,,,,,   Under 1 Year,  Male,Father,0
 Palpa,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Palpa,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Palpa,,,,,,   Under 1 Year,  Male,Other relatives,15
 Palpa,,,,,,   Under 1 Year,  Male,Employer,0
 Palpa,,,,,,   Under 1 Year,  Male,Others,15
 Palpa,,,,,,   Under 1 Year,  Male,Not stated,25
 Palpa,,,,,,   01 - 04 Years,  Male,Parents,7201
 Palpa,,,,,,   01 - 04 Years,  Male,Mother,2412
 Palpa,,,,,,   01 - 04 Years,  Male,Father,35
 Palpa,,,,,,   01 - 04 Years,  Male,Father and step mother,16
 Palpa,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Palpa,,,,,,   01 - 04 Years,  Male,Other relatives,47
 Palpa,,,,,,   01 - 04 Years,  Male,Employer,16
 Palpa,,,,,,   01 - 04 Years,  Male,Others,128
 Palpa,,,,,,   01 - 04 Years,  Male,Not stated,121
 Palpa,,,,,,   05 - 09 Years,  Male,Parents,10530
 Palpa,,,,,,   05 - 09 Years,  Male,Mother,3914
 Palpa,,,,,,   05 - 09 Years,  Male,Father,122
 Palpa,,,,,,   05 - 09 Years,  Male,Father and step mother,75
 Palpa,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Palpa,,,,,,   05 - 09 Years,  Male,Other relatives,145
 Palpa,,,,,,   05 - 09 Years,  Male,Employer,0
 Palpa,,,,,,   05 - 09 Years,  Male,Others,340
 Palpa,,,,,,   05 - 09 Years,  Male,Not stated,135
 Palpa,,,,,,   10 - 15 Years,  Male,Parents,15252
 Palpa,,,,,,   10 - 15 Years,  Male,Mother,4429
 Palpa,,,,,,   10 - 15 Years,  Male,Father,277
 Palpa,,,,,,   10 - 15 Years,  Male,Father and step mother,125
 Palpa,,,,,,   10 - 15 Years,  Male,Mother and step father,17
 Palpa,,,,,,   10 - 15 Years,  Male,Other relatives,340
 Palpa,,,,,,   10 - 15 Years,  Male,Employer,17
 Palpa,,,,,,   10 - 15 Years,  Male,Others,824
 Palpa,,,,,,   10 - 15 Years,  Male,Not stated,119
 Palpa,,,,,,   Under 1 Year,  Female,Parents,1481
 Palpa,,,,,,   Under 1 Year,  Female,Mother,503
 Palpa,,,,,,   Under 1 Year,  Female,Father,0
 Palpa,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Palpa,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Palpa,,,,,,   Under 1 Year,  Female,Other relatives,8
 Palpa,,,,,,   Under 1 Year,  Female,Employer,0
 Palpa,,,,,,   Under 1 Year,  Female,Others,8
 Palpa,,,,,,   Under 1 Year,  Female,Not stated,63
 Palpa,,,,,,   01 - 04 Years,  Female,Parents,7086
 Palpa,,,,,,   01 - 04 Years,  Female,Mother,2191
 Palpa,,,,,,   01 - 04 Years,  Female,Father,28
 Palpa,,,,,,   01 - 04 Years,  Female,Father and step mother,8
 Palpa,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Palpa,,,,,,   01 - 04 Years,  Female,Other relatives,53
 Palpa,,,,,,   01 - 04 Years,  Female,Employer,0
 Palpa,,,,,,   01 - 04 Years,  Female,Others,96
 Palpa,,,,,,   01 - 04 Years,  Female,Not stated,122
 Palpa,,,,,,   05 - 09 Years,  Female,Parents,10203
 Palpa,,,,,,   05 - 09 Years,  Female,Mother,3761
 Palpa,,,,,,   05 - 09 Years,  Female,Father,86
 Palpa,,,,,,   05 - 09 Years,  Female,Father and step mother,43
 Palpa,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Palpa,,,,,,   05 - 09 Years,  Female,Other relatives,228
 Palpa,,,,,,   05 - 09 Years,  Female,Employer,3
 Palpa,,,,,,   05 - 09 Years,  Female,Others,419
 Palpa,,,,,,   05 - 09 Years,  Female,Not stated,70
 Palpa,,,,,,   10 - 15 Years,  Female,Parents,15243
 Palpa,,,,,,   10 - 15 Years,  Female,Mother,4461
 Palpa,,,,,,   10 - 15 Years,  Female,Father,148
 Palpa,,,,,,   10 - 15 Years,  Female,Father and step mother,102
 Palpa,,,,,,   10 - 15 Years,  Female,Mother and step father,33
 Palpa,,,,,,   10 - 15 Years,  Female,Other relatives,370
 Palpa,,,,,,   10 - 15 Years,  Female,Employer,29
 Palpa,,,,,,   10 - 15 Years,  Female,Others,646
 Palpa,,,,,,   10 - 15 Years,  Female,Not stated,218
 Nawalparasi,,,,,,   Under 1 Year,  Male,Parents,4731
 Nawalparasi,,,,,,   Under 1 Year,  Male,Mother,589
 Nawalparasi,,,,,,   Under 1 Year,  Male,Father,0
 Nawalparasi,,,,,,   Under 1 Year,  Male,Father and step mother,16
 Nawalparasi,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Nawalparasi,,,,,,   Under 1 Year,  Male,Other relatives,9
 Nawalparasi,,,,,,   Under 1 Year,  Male,Employer,0
 Nawalparasi,,,,,,   Under 1 Year,  Male,Others,56
 Nawalparasi,,,,,,   Under 1 Year,  Male,Not stated,120
 Nawalparasi,,,,,,   01 - 04 Years,  Male,Parents,19323
 Nawalparasi,,,,,,   01 - 04 Years,  Male,Mother,3221
 Nawalparasi,,,,,,   01 - 04 Years,  Male,Father,41
 Nawalparasi,,,,,,   01 - 04 Years,  Male,Father and step mother,16
 Nawalparasi,,,,,,   01 - 04 Years,  Male,Mother and step father,24
